"","X_supres.total","Y_cat_q_total","W_bapq_center","Z_bgd_total","CV1_age","CV2_race","CV3_ses"
"1",-1.13829787234043,74,-0.263020833333333,0.45612,18,9,1
"2",3.86170212765957,137,1.09809027777778,0.45612,19,1,2
"3",2.86170212765957,100,-0.763020833333333,0,19,2,3
"4",-3.13829787234043,142,1.20920138888889,0.79476,28,7,3
"5",2.86170212765957,79,-0.957465277777778,0.62028,18,1,1
"6",-1.13829787234043,160,1.15364583333333,0.63986,18,8,3
"7",0.861702127659573,90,-0.457465277777778,0.39967,21,1,3
"8",-2.13829787234043,103,-0.0685763888888888,0.72797,19,1,1
"9",3.86170212765957,94,-0.290798611111111,1,23,7,2
"10",9.86170212765957,113,0.264756944444444,0.33504,18,9,1
"11",-3.13829787234043,86,-0.374131944444445,0.72797,20,1,1
"12",-10.1382978723404,71,-0.457465277777778,0.63986,20,9,2
"13",6.86170212765957,123,1.18142361111111,0.54344,18,9,3
"14",-0.138297872340427,100,-0.151909722222222,0.34781,18,1,3
"15",-12.1382978723404,70,1.01475694444444,0.756,23,9,3
"16",11.8617021276596,97,0.3203125,0,23,7,3
"17",7.86170212765957,128,0.181423611111111,0.34781,21,2,3
"18",-5.13829787234043,112,-0.485243055555556,0,21,1,1
"19",-2.13829787234043,109,-0.318576388888889,0.72797,19,1,2
"20",-5.13829787234043,104,-0.318576388888889,0.66332,27,4,4
"21",-1.13829787234043,94,-0.263020833333333,0.66332,21,7,3
"22",6.86170212765957,108,-0.540798611111111,0.59005,21,1,4
"23",-0.138297872340427,75,0.209201388888889,0,19,4.52688172043011,2.28260869565217
"24",6.86170212765957,135,1.15364583333333,0.62028,18,1,2
"25",4.86170212765957,93,-0.0130208333333335,0.235,19,9,2
"26",6.86170212765957,99,-0.290798611111111,0.72797,38,7,2
"27",-0.138297872340427,111,0.0425347222222223,0,18,9,1
"28",-3.13829787234043,114,0.264756944444444,0.51593,18,3,2
"29",-6.13829787234043,104,0.792534722222222,0,19,1,3
"30",3.86170212765957,91,-0.318576388888889,0.34781,22,1,2.28260869565217
"31",6.86170212765957,118,-0.235243055555556,0.34781,18,9,2
"32",0.861702127659573,114,0.0703125,0.33504,22,1,3
"33",6.86170212765957,115,0.0147569444444442,0.63986,21,7,2
"34",1.86170212765957,82,-1.01302083333333,0.72797,23,4,3
"35",-6.13829787234043,68,-0.6796875,1,25,1,3
"36",4.86170212765957,128,1.15364583333333,0.36826,20,1,1
"37",-3.13829787234043,102,-0.346354166666667,0.26822,18,9,1
"38",-3.13829787234043,96,-0.1796875,0.60332,18,5,1
"39",-2.13829787234043,125,0.403645833333333,0.60332,24,7,3
"40",4.86170212765957,99,-0.1796875,0.60332,22,7,3
"41",11.8617021276596,101,-0.346354166666667,0.36826,38,5,2
"42",2.86170212765957,90,-0.707465277777778,0.26822,21,6,3
"43",8.86170212765957,167,1.68142361111111,0.50961,18,1,2
"44",1.86170212765957,92,-0.374131944444445,1,20,9,2
"45",-0.138297872340427,105,0.0980902777777777,0.52914,19,2,2
"46",-1.13829787234043,134,0.764756944444444,1,20,1,1
"47",-0.138297872340427,91,-0.318576388888889,0,18,2,3
"48",-2.13829787234043,126,0.709201388888889,0.51593,21,2,1
"49",-4.13829787234043,88,-0.846354166666667,1,19,2,1
"50",0.861702127659573,132,0.653645833333333,0.63986,31,1,3
"51",4.86170212765957,108,0.0147569444444442,0.59005,18,9,3
"52",-1.13829787234043,111,-0.457465277777778,0.235,24,1,2
"53",-6.13829787234043,96,-0.346354166666667,0.60332,21,8,3
"54",-1.13829787234043,101,0.153645833333333,0,24,7,2
"55",5.86170212765957,123,-0.124131944444445,0.52914,18,5,2
"56",-9.13829787234043,103,-0.790798611111111,0.235,19,9,3
"57",5.86170212765957,97,-0.874131944444445,1,23,1,3
"58",3.86170212765957,114,-0.151909722222222,0.235,19,1,2
"59",-1.13829787234043,77,0.0703125,0.55119,19,2,2
"60",3.86170212765957,131,0.209201388888889,0.66332,25,7,4
"61",-5.13829787234043,123,-0.124131944444445,0.66332,21,9,2
"62",-10.1382978723404,109,0.5703125,0.41967,20,2,2
"63",0.861702127659573,114,-0.0685763888888888,0.66332,20,2,3
"64",-2.13829787234043,112,0.3203125,0.57862,19,1,3
"65",-2.13829787234043,97,-0.374131944444445,0.31948,21,1,2
"66",0.861702127659573,126,0.348090277777778,0,19,9,3
"67",3.86170212765957,99,-0.401909722222222,0.29161,18,9,3
"68",-4.13829787234043,128,-0.207465277777778,0,21,5,2
"69",-0.138297872340427,98,0.375868055555555,0,19,9,1
"70",-8.13829787234043,96,-0.596354166666667,0,18,5,1
"71",0.861702127659573,129,0.514756944444444,1,20,5,3
"72",-0.138297872340427,124,0.236979166666667,0.66332,19,9,2
"73",-8.13829787234043,116,0.153645833333333,0.62028,23,5,3
"74",-5.13829787234043,88,-0.651909722222222,0.60332,21,9,2
"75",-3.13829787234043,122,-0.0407986111111112,0,19,7,3
"76",1.86170212765957,136,0.459201388888889,0.31948,23,1,2
"77",8.86170212765957,110,-0.263020833333333,0,27,9,2
"78",1.86170212765957,147,1.26475694444444,1,19,5,3
"79",-2.13829787234043,74,0.0425347222222223,0.79476,23,2,2
"80",2.86170212765957,132,0.403645833333333,0.66332,19,2,2
"81",0.861702127659573,83,-0.485243055555556,0.72797,21,9,3
"82",-2.13829787234043,131,0.236979166666667,0.62028,43,1,2
"83",6.86170212765957,92,0.598090277777778,0.62028,19,1,2
"84",-3.13829787234043,99,-0.818576388888889,0.72797,19,1,2
